id,title,description,status,priority,effort,scope,phase,created_at,updated_at
FT-P2-0002,Install Node and verify frontend build,"Verified the frontend build after npm install was available in the environment.",done - pass 3,medium,S,frontend,Follow-up,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0301,Build accounts API,"Implemented accounts list/detail/create/update/archive with computed balances and opening-balance transaction creation.",done - pass 3,high,L,backend,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0302,Build accounts UI,"Implemented accounts page with add-account form, account table, current balance display, dashboard flag, and archive action.",done - pass 3,high,L,frontend,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0303,Build transactions API,"Implemented filterable transaction list, detail, create, update, void, and status update endpoints.",done - pass 3,high,L,backend,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0304,Build transfer API,"Implemented atomic paired transfer creation with explicit inflow/outflow direction and linked partner IDs.",done - pass 3,high,M,backend,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0305,Build transactions UI,"Implemented transactions page with manual transaction entry, transfer entry, status change, void action, and transaction table.",done - pass 3,high,L,frontend,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0306,Build split transaction support,"Implemented backend split validation and transactional split replacement for create/update; full split editor UI remains a future enhancement.",done - pass 3,high,M,fullstack,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-0307,Build dashboard summary,"Implemented dashboard summary endpoint and frontend dashboard cards/recent transactions driven by API data.",done - pass 3,high,L,fullstack,Phase 3,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0001,Create finance data contract project,"Added FinanceTracker.Data.Contracts and FinanceSqlMapperDataSession so services call a professional data boundary instead of raw connection logic.",done - pass 3,high,M,backend,Pass 3 architecture,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0002,Move SqlMapper to in-repo reference,"Updated backend references and SqlMapper defaults to use the in-repo server/SqlMapper project and finance_tracker connection settings.",done - pass 3,high,S,backend,Pass 3 architecture,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0003,Add ASP.NET identity Liquibase baseline,"Added Liquibase create script for ASP.NET Identity user/role/claim/login/token tables and RefreshTokens, matching the reusable pipeline project baseline.",done - pass 3,high,M,database,Pass 3 auth,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0004,Add transaction direction support,"Added Liquibase and contracts support for transaction direction so transfer balance math is unambiguous.",done - pass 3,high,M,database,Pass 3 domain,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0005,Run Liquibase against local database,"Start local Postgres and run Liquibase update against the finance_tracker database.",todo,high,S,database,Follow-up,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00
FT-P3-0006,Resolve locked Debug build outputs,"A prior debug run left generated DLLs locked on the Windows-mounted filesystem; Release builds pass, but Debug bin cleanup should be retried after the lock clears.",todo,low,S,tooling,Follow-up,2026-05-31T00:00:32-04:00,2026-05-31T00:00:32-04:00

