title,description,status,priority,effort,scope,phase,created_at,updated_at
Review planning docs,"Read current revised build plan and old product outline to separate current stack decisions from historical context.",done - pass 1,high,S,planning,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Inspect reusable pipeline template,"Review reusable auth, SqlMapper, Liquibase, storage, frontend type/theme, and agent convention sources in the pipeline saas-template project.",done - pass 1,high,S,planning,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create finance agent instructions,"Create project-local AGENTS instructions covering stack, reusable template conventions, ports, Liquibase, product rules, and git behavior.",done - pass 1,high,S,docs,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create setup README,"Create a README that records planning sources, reserved local ports, infrastructure choices, task-board convention, and expected dev commands.",done - pass 1,high,S,docs,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Add git hygiene files,"Add .gitignore and .gitattributes for React, .NET, Liquibase, local secrets, local databases, and object-storage runtime data.",done - pass 1,high,S,repo,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Initialize local git repository,"Initialize local git repository with main as the default branch without adding a remote or pushing.",done - pass 1,high,S,repo,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create task board CSV,"Create task-board.csv with required headers and rows for completed setup plus future build work.",done - pass 1,high,M,planning,Pass 1 setup,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Scaffold repository structure,"Create client, server, shared/reference, db/liquibase, and local infra folders according to the revised build plan.",todo,high,M,repo,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Scaffold ASP.NET Core API,"Create the finance backend project and solution using reusable server conventions where possible.",todo,high,L,backend,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Scaffold React frontend,"Create the finance React/Vite frontend and wire it to port 5273 and backend API URL 8353.",todo,high,M,frontend,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Configure local services,"Add local PostgreSQL and S3-compatible storage configuration using ports 5438, 9010, and 9011.",todo,high,M,infra,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Wire reusable auth,"Integrate shared authentication, current-user context, protected API routes, and protected frontend routes.",todo,high,L,auth,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Wire object storage,"Add or reuse an S3 storage abstraction and validate import/export storage prefixes.",todo,high,M,backend,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Add health endpoint,"Expose a health endpoint covering API, PostgreSQL, and S3 configuration checks.",todo,medium,S,backend,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create frontend route shell,"Add routes for dashboard, accounts, transactions, imports, subscriptions, reports, and settings.",todo,high,M,frontend,Phase 1,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Configure Liquibase,"Create finance Liquibase properties, master changelog, and initial migration structure.",todo,high,M,database,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create core finance schema,"Add Liquibase migration for accounts, transactions, and transaction_splits with constraints and indexes.",todo,high,L,database,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create finance domain models,"Create C# models/entities for accounts, transactions, and splits using SqlMapper mapping conventions.",todo,high,M,backend,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create account and transaction DTOs,"Define request/response DTOs for accounts, transactions, filters, and paged results.",todo,high,M,backend,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create service layer skeleton,"Add AccountService, TransactionService, TransferService, ReportService, ImportService, and shared finance utilities.",todo,high,M,backend,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create frontend finance contracts,"Add finance TypeScript contracts to schema.ts or the local equivalent.",todo,high,S,frontend,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create API service hooks,"Add account and transaction API service functions and query hooks using the reusable API client pattern.",todo,high,M,frontend,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create money and date utilities,"Add formatMoney, formatDate, toApiDate, monthRange, and monthly range helpers.",todo,medium,S,shared,Phase 2,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build accounts API,"Implement account list, detail, create, update, archive/close, and opening-balance transaction behavior.",todo,high,L,backend,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build accounts UI,"Implement account list, account detail, create/edit modal, account badges, balances, and dashboard inclusion toggle.",todo,high,L,frontend,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build transactions API,"Implement paginated/filterable transaction CRUD, voiding, status updates, and detail responses.",todo,high,L,backend,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build transfer API,"Implement atomic paired transfer creation and safe transfer void behavior.",todo,high,M,backend,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build transactions UI,"Implement transactions table, filters, add/edit modal, quick edits, void confirmation, and transfer mode.",todo,high,L,frontend,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build split transaction support,"Validate split totals server-side and add split editor/table indicators client-side.",todo,high,M,fullstack,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build dashboard summary,"Implement dashboard aggregation endpoint and frontend summary cards, period picker, recent transactions, and placeholders.",todo,high,L,fullstack,Phase 3,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create import schema,"Add Liquibase migrations and models for import_batches, import_preview_rows, import_templates, import_rules, and classification_rules.",todo,high,L,database,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build S3 upload flow,"Implement import upload endpoint with file size/type validation, S3 write, metadata persistence, and upload UI step.",todo,high,L,fullstack,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build parsing and mapping,"Implement CSV parsing, detected columns, saved templates, date/amount formats, and mapping UI.",todo,high,L,fullstack,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build preview and duplicate detection,"Generate preview rows, apply rules, compute import hashes, detect duplicates, and show editable preview table.",todo,high,L,fullstack,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build import commit,"Commit accepted preview rows to transactions atomically and return imported/skipped/rejected summary.",todo,high,M,backend,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build import rules manager,"Implement CRUD, priority reorder, test endpoint, and settings UI for regex import rules.",todo,medium,L,fullstack,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build classification rules manager,"Implement CRUD, priority, rule application service, and UI test panel for classification rules.",todo,medium,L,fullstack,Phase 4,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create tags recurring notes schema,"Add Liquibase migrations and models for tags, transaction_tags, recurring_rules, notes, and reminders.",todo,high,L,database,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build tags system,"Implement tag CRUD, transaction tag assignment, tag filters, tag selector, and settings/tag manager UI.",todo,medium,M,fullstack,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build recurring rules API,"Implement recurring rule CRUD, matching logic, next expected calculations, and subscription status endpoint.",todo,high,L,backend,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build subscriptions UI,"Implement subscriptions page, monthly normalized cost summary, overdue/upcoming sections, and rule modal.",todo,medium,L,frontend,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build notes system,"Implement notes CRUD, note matching, dismiss/match actions, notes page, and transaction match banner.",todo,medium,L,fullstack,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build reminders infrastructure,"Implement scheduled reminder worker, reminders API, dashboard reminder list, and nav badge.",todo,medium,L,fullstack,Phase 5,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build report endpoints,"Implement cash flow, category breakdown, business/personal, tag breakdown, balance history, subscriptions trend, and net worth endpoints.",todo,high,L,backend,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Integrate charts,"Add chart components and shared chart formatting for dashboard, reports, accounts, tags, and subscriptions.",todo,medium,L,frontend,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build reports page,"Create reports page with period picker, account/classification filters, summaries, charts, tables, and export actions.",todo,medium,L,frontend,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build CSV/PDF exports,"Implement frontend exports and backend persisted export endpoints where large datasets or stored downloads are needed.",todo,medium,L,fullstack,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build reconciliation schema,"Add balance_checkpoints migration with expected balance and discrepancy fields.",todo,medium,M,database,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build reconciliation flow,"Implement checkpoint APIs, account checkpoint panel, reconcile page, and bulk/quick status actions.",todo,medium,L,fullstack,Phase 6,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Create finance profile extension,"Add user_finance_profiles schema, API, and settings/profile UI without modifying shared auth tables directly.",todo,medium,M,fullstack,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build guidance engine,"Implement deterministic guidance service and endpoint for savings rate, emergency fund, 50/30/20, subscriptions, business expense ratio, and debt service.",todo,medium,L,backend,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build guidance UI,"Create guidance dashboard/cards with statuses, thresholds, messages, and supporting metrics.",todo,medium,M,frontend,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Build settings pages,"Implement settings tabs for profile, categories, tags, import rules, classification rules, recurring rules, account settings, and data/exports.",todo,medium,L,frontend,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Run UX consistency pass,"Confirm loading, empty, destructive action, validation, money/date, table filter, and keyboard shortcut behavior across the app.",todo,medium,M,frontend,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Run full manual flow tests,"Test create account, add/edit transaction, transfer, void, and dashboard updates.",todo,high,M,testing,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Run full import flow tests,"Test upload to S3, parse, map, preview, duplicate rejection, commit, and report/dashboard updates with a real bank CSV.",todo,high,M,testing,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Production hardening,"Verify auth coverage, user scoping, rate limits, upload safety, logging, health checks, indexes, S3 permissions, and production API config.",todo,high,L,hardening,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
Finalize developer docs,"Update README with prerequisites, local setup, PostgreSQL, S3/MinIO, env vars, dev commands, migration commands, imports, tests, and deployment notes.",todo,medium,M,docs,Phase 7,2026-05-30T21:30:56-04:00,2026-05-30T21:30:56-04:00
